사번,이름,부서,교육명,대상기간,이수기한,이수일,이수여부,이수시간
1014,경영직원4,경영지원팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-18,Y,3
1014,경영직원4,경영지원팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-18,Y,3
1014,경영직원4,경영지원팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-20,Y,3
1014,경영직원4,경영지원팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-26,Y,3
1014,경영직원4,경영지원팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-08,Y,3
1014,경영직원4,경영지원팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1015,경영직원5,경영지원팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-15,Y,3
1015,경영직원5,경영지원팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-13,Y,3
1015,경영직원5,경영지원팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-11,Y,3
1015,경영직원5,경영지원팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-27,Y,3
1015,경영직원5,경영지원팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-26,Y,3
1015,경영직원5,경영지원팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-28,Y,3
1015,경영직원5,경영지원팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1016,마케직원1,마케팅팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-18,Y,3
1016,마케직원1,마케팅팀,정기 안전보건교육,2025-Q2,2025-06-30,,N,0
1016,마케직원1,마케팅팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-12,Y,3
1016,마케직원1,마케팅팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-20,Y,3
1016,마케직원1,마케팅팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-22,Y,3
1016,마케직원1,마케팅팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-17,Y,3
1016,마케직원1,마케팅팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1016,마케직원1,마케팅팀,관리감독자 안전보건교육,2025,2025-12-31,2025-11-12,Y,16
1017,마케직원2,마케팅팀,정기 안전보건교육,2025-Q1,2025-03-31,2025-03-22,Y,3
1017,마케직원2,마케팅팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-12,Y,3
1017,마케직원2,마케팅팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-25,Y,3
1017,마케직원2,마케팅팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-16,Y,3
1017,마케직원2,마케팅팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-16,Y,3
1017,마케직원2,마케팅팀,정기 안전보건교육,2026-Q2,2026-06-30,,N,0
1017,마케직원2,마케팅팀,정기 안전보건교육,2026-Q3,2026-09-30,,N,0
1018,마케직원3,마케팅팀,정기 안전보건교육,2025-Q1,2025-03-31,,N,0
1018,마케직원3,마케팅팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-16,Y,3
1018,마케직원3,마케팅팀,정기 안전보건교육,2025-Q3,2025-09-30,,N,0
1018,마케직원3,마케팅팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-15,Y,3
1018,마케직원3,마케팅팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-29,Y,3
1018,마케직원3,마케팅팀,정기 안전보건교육,2026-Q2,2026-06-30,2026-06-28,Y,3
1018,마케직원3,마케팅팀,정기 안전보건교육,2026-Q3,2026-09-30,,N,0
1019,마케직원4,마케팅팀,정기 안전보건교육,2025-Q1,2025-03-31,,N,0
1019,마케직원4,마케팅팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-19,Y,3
1019,마케직원4,마케팅팀,정기 안전보건교육,2025-Q3,2025-09-30,,N,0
1019,마케직원4,마케팅팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-09,Y,3
1019,마케직원4,마케팅팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-20,Y,3
1019,마케직원4,마케팅팀,정기 안전보건교육,2026-Q2,2026-06-30,,N,0
1019,마케직원4,마케팅팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
1020,마케직원5,마케팅팀,정기 안전보건교육,2025-Q1,2025-03-31,,N,0
1020,마케직원5,마케팅팀,정기 안전보건교육,2025-Q2,2025-06-30,2025-06-29,Y,3
1020,마케직원5,마케팅팀,정기 안전보건교육,2025-Q3,2025-09-30,2025-09-20,Y,3
1020,마케직원5,마케팅팀,정기 안전보건교육,2025-Q4,2025-12-31,2025-12-07,Y,3
1020,마케직원5,마케팅팀,정기 안전보건교육,2026-Q1,2026-03-31,2026-03-28,Y,3
1020,마케직원5,마케팅팀,정기 안전보건교육,2026-Q2,2026-06-30,,N,0
1020,마케직원5,마케팅팀,정기 안전보건교육,2026-Q3,2026-09-30,2026-07-29,Y,3
